Country/Region,Lat,Long,Cases
Afghanistan,33.93911,67.709953,70111
Albania,41.1533,20.1683,132297
Algeria,28.0339,1.6596,128456
Andorra,42.5063,1.5218,13693
Angola,-11.2027,17.8739,34180
Antigua and Barbuda,17.0608,-61.7964,1259
Argentina,-38.4161,-63.6167,3732263
Armenia,40.0691,45.0382,222555
Australia,-35.4735,149.0124,124
Australia,-33.8688,151.2093,5585
Australia,-12.4634,130.8456,173
Australia,-27.4698,153.0251,1618
Australia,-34.9285,138.6007,752
Australia,-42.8821,147.3272,234
Australia,-37.8136,144.9631,20593
Australia,-31.9505,115.8605,1017
Austria,47.5162,14.5501,644207
Azerbaijan,40.1431,47.5769,333723
Bahamas,25.025885,-78.035889,11745
Bahrain,26.0275,50.55,235698
Bangladesh,23.685,90.3563,797386
Barbados,13.1939,-59.5432,4012
Belarus,53.7098,27.9534,392629
Belgium,50.8333,4.469936,1059763
Belize,17.1899,-88.4976,12791
Benin,9.3077,2.3158,8058
Bhutan,27.5142,90.4336,1603
Bolivia,-16.2902,-63.5887,366714
Bosnia and Herzegovina,43.9159,17.6791,203839
Botswana,-22.3285,24.6849,53771
Brazil,-14.235,-51.9253,16471600
Brunei,4.5353,114.7277,241
Bulgaria,42.7339,25.4858,418221
Burkina Faso,12.2383,-1.5616,13430
Burma,21.9162,95.956,143526
Burundi,-3.3731,29.9189,4715
Cabo Verde,16.5388,-23.0418,30273
Cambodia,11.55,104.9167,28825
Cameroon,3.848,11.5021,78929
Canada,53.9333,-116.5765,226855
Canada,53.7267,-127.6476,143581
Canada,0,0,0
Canada,0,0,13
Canada,53.7609,-98.8139,50499
Canada,46.5653,-66.4619,2191
Canada,53.1355,-57.6604,1302
Canada,64.8255,-124.8457,127
Canada,44.682,-63.7443,5530
Canada,70.2998,-83.1076,648
Canada,51.2538,-85.3232,537138
Canada,46.5107,-63.4168,200
Canada,52.9399,-73.5491,369728
Canada,,,13
Canada,52.9399,-106.4509,46464
Canada,64.2823,-135,84
Central African Republic,6.6111,20.9394,7085
Chad,15.4542,18.7322,4928
Chile,-35.6751,-71.543,1369597
China,31.8257,117.2264,1004
China,40.1824,116.4142,1059
China,30.0572,107.874,598
China,26.0789,117.9874,620
China,35.7518,104.2861,194
China,23.3417,113.4244,2432
China,23.8298,108.7881,275
China,26.8154,106.8748,147
China,19.1959,109.7453,188
China,39.549,116.1306,1317
China,47.862,127.7615,1612
China,37.8957,114.9042,1314
China,22.3,114.2,11837
China,30.9756,112.2707,68159
China,27.6104,111.7088,1051
China,44.0935,113.9448,387
China,32.9711,119.455,726
China,27.614,115.7221,937
China,43.6661,126.1923,573
China,41.2956,122.6085,425
China,22.1667,113.55,51
China,37.2692,106.1655,76
China,35.7452,95.9956,18
China,35.1917,108.8701,616
China,36.3427,118.1498,883
China,31.202,121.4491,2093
China,37.5777,112.2922,253
China,30.6171,102.7103,1025
China,39.3054,117.323,393
China,31.6927,88.0924,1
China,,,0
China,41.1129,85.2401,980
China,24.974,101.487,352
China,29.1832,120.0934,1364
Colombia,4.5709,-74.2973,3363061
Comoros,-11.6455,43.3333,3881
Congo (Brazzaville),-0.228,15.8277,11658
Congo (Kinshasa),-4.0383,21.7587,31416
Costa Rica,9.7489,-83.7534,314102
Cote d'Ivoire,7.54,-5.5471,47233
Croatia,45.1,15.2,355955
Cuba,21.521757,-77.781167,140087
Cyprus,35.1264,33.4299,72363
Czechia,49.8175,15.473,1660935
Denmark,61.8926,-6.9118,712
Denmark,71.7069,-42.6043,37
Denmark,56.2639,9.5018,279434
Diamond Princess,0,0,712
Djibouti,11.8251,42.5903,11523
Dominica,15.415,-61.371,188
Dominican Republic,18.7357,-70.1627,290526
Ecuador,-1.8312,-78.1834,424741
Egypt,26.820553,30.802498,260659
El Salvador,13.7942,-88.8965,73246
Equatorial Guinea,1.6508,10.2679,8529
Eritrea,15.1794,39.7823,4061
Estonia,58.5953,25.0136,129424
Eswatini,-26.5225,31.4659,18589
Ethiopia,9.145,40.4897,271200
Fiji,-17.7134,178.065,360
Finland,61.92411,25.748151,92244
France,3.9339,-53.1258,23763
France,-17.6797,149.4068,18860
France,16.265,-61.551,16517
France,14.6415,-61.0242,11789
France,-12.8275,45.166244,20176
France,-20.904305,165.618042,128
France,-21.1151,55.5364,24901
France,17.9,-62.8333,1005
France,46.8852,-56.3159,25
France,18.0708,-63.0501,1915
France,-14.2938,-178.1165,445
France,46.2276,2.2137,5600353
Gabon,-0.8037,11.6094,24365
Gambia,13.4432,-15.3101,5990
Georgia,42.3154,43.3569,342880
Germany,51.165691,10.451526,3684672
Ghana,7.9465,-1.0232,93775
Greece,39.0742,21.8243,400395
Grenada,12.1165,-61.679,161
Guatemala,15.7835,-90.2308,253837
Guinea,9.9456,-9.6966,23172
Guinea-Bissau,11.8037,-15.1804,3761
Guyana,4.860416,-58.93018,16822
Haiti,18.9712,-72.2852,14128
Holy See,41.9029,12.4534,27
Honduras,15.2,-86.2419,236952
Hungary,47.1625,19.5033,804032
Iceland,64.9631,-19.0208,6555
India,20.593684,78.96288,27894800
Indonesia,-0.7893,113.9213,1809926
Iran,32.427908,53.688046,2893218
Iraq,33.223191,43.679291,1193608
Ireland,53.1424,-7.6921,254870
Israel,31.046051,34.851612,839453
Italy,41.87194,12.56738,4213055
Jamaica,18.1096,-77.2975,48374
Japan,36.204824,138.252924,742539
Jordan,31.24,36.51,734659
Kazakhstan,48.0196,66.9237,438715
Kenya,-0.0236,37.9062,170485
Kiribati,-3.3704,-168.734,2
"Korea, South",35.907757,127.766922,139910
Kosovo,42.602636,20.902977,106946
Kuwait,29.31166,47.481766,306717
Kyrgyzstan,41.20438,74.766098,104222
Laos,19.85627,102.495496,1908
Latvia,56.8796,24.6032,132918
Lebanon,33.8547,35.8623,540132
Lesotho,-29.61,28.2336,10825
Liberia,6.428055,-9.429499,2179
Libya,26.3351,17.228331,184815
Liechtenstein,47.14,9.55,3008
Lithuania,55.1694,23.8813,273866
Luxembourg,49.8153,6.1296,69830
MS Zaandam,0,0,9
Madagascar,-18.766947,46.869107,41234
Malawi,-13.2543,34.3015,34329
Malaysia,4.210484,101.975766,558534
Maldives,3.2028,73.2207,62906
Mali,17.570692,-3.996166,14265
Malta,35.9375,14.3754,30529
Marshall Islands,7.1315,171.1845,4
Mauritania,21.0079,-10.9408,19463
Mauritius,-20.348404,57.552152,1363
Mexico,23.6345,-102.5528,2411503
Micronesia,7.4256,150.5508,1
Moldova,47.4116,28.3699,255105
Monaco,43.7333,7.4167,2503
Mongolia,46.8625,103.8467,56621
Montenegro,42.708678,19.37439,99566
Morocco,31.7917,-7.0926,518868
Mozambique,-18.665695,35.529562,70724
Namibia,-22.9576,18.4904,54659
Nepal,28.1667,84.25,553422
Netherlands,12.5211,-69.9683,10974
Netherlands,12.1784,-68.2385,1612
Netherlands,12.1696,-68.99,12271
Netherlands,18.0425,-63.0548,2411
Netherlands,52.1326,5.2913,1644699
New Zealand,-40.9006,174.886,2672
Nicaragua,12.865416,-85.207229,7324
Niger,17.607789,8.081666,5410
Nigeria,9.082,8.6753,166285
North Macedonia,41.6086,21.7453,155246
Norway,60.472,8.4689,124655
Oman,21.512583,55.923255,213784
Pakistan,30.3753,69.3451,918936
Panama,8.538,-80.7821,377428
Papua New Guinea,-6.314993,143.95555,15772
Paraguay,-23.4425,-58.4438,350613
Peru,-9.19,-75.0152,1947555
Philippines,12.879721,121.774017,1216582
Poland,51.9194,19.1451,2871371
Portugal,39.3999,-8.2245,848213
Qatar,25.3548,51.1839,217041
Romania,45.9432,24.9668,1077426
Russia,61.52401,105.318756,4995613
Rwanda,-1.9403,29.8739,26892
Saint Kitts and Nevis,17.357822,-62.782998,68
Saint Lucia,13.9094,-60.9789,5035
Saint Vincent and the Grenadines,12.9843,-61.2872,2027
Samoa,-13.759,-172.1046,3
San Marino,43.9424,12.4578,5089
Sao Tome and Principe,0.1864,6.6131,2345
Saudi Arabia,23.885942,45.079162,448284
Senegal,14.4974,-14.4524,41331
Serbia,44.0165,21.0059,712046
Seychelles,-4.6796,55.492,11145
Sierra Leone,8.460555,-11.779889,4141
Singapore,1.2833,103.8333,62003
Slovakia,48.669,19.699,389440
Slovenia,46.1512,14.9955,253493
Solomon Islands,-9.6457,160.1562,20
Somalia,5.152149,46.199616,14653
South Africa,-30.5595,22.9375,1659070
South Sudan,6.877,31.307,10688
Spain,40.463667,-3.74922,3668658
Sri Lanka,7.873054,80.771797,180593
Sudan,12.8628,30.2176,35289
Suriname,3.9193,-56.0278,14515
Sweden,60.128161,18.643501,1068473
Switzerland,46.8182,8.2275,693023
Syria,34.802075,38.996815,24440
Taiwan*,23.7,121,7806
Tajikistan,38.861,71.2761,13308
Tanzania,-6.369028,34.888822,509
Thailand,15.870032,100.992541,151842
Timor-Leste,-8.874217,125.727539,6752
Togo,8.6195,0.8248,13432
Trinidad and Tobago,10.6918,-61.2225,23001
Tunisia,33.886917,9.537499,343374
Turkey,38.9637,35.2433,5235978
US,40,-100,33251939
Uganda,1.373333,32.290275,45931
Ukraine,48.3794,31.1656,2257904
United Arab Emirates,23.424076,53.847818,567263
United Kingdom,18.2206,-63.0686,109
United Kingdom,32.3078,-64.7505,2491
United Kingdom,18.4207,-64.64,248
United Kingdom,19.3133,-81.2546,581
United Kingdom,49.3723,-2.3644,4065
United Kingdom,-51.7963,-59.5236,63
United Kingdom,36.1408,-5.3536,4293
United Kingdom,54.2361,-4.5481,1592
United Kingdom,16.742498,-62.187366,20
United Kingdom,-7.9467,-14.3559,4
United Kingdom,21.694,-71.7979,2412
United Kingdom,55.3781,-3.436,4480945
Uruguay,-32.5228,-55.7658,288172
Uzbekistan,41.377491,64.585262,99844
Vanuatu,-15.3767,166.9592,4
Venezuela,6.4238,-66.5897,231443
Vietnam,14.058324,108.277199,6908
West Bank and Gaza,31.9522,35.2332,307838
Yemen,15.552727,48.516388,6731
Zambia,-13.133897,27.849332,94751
Zimbabwe,-19.015438,29.154857,38933
